"_time",daylogins,"_span","_spandays"
1444510800,"287525.000000",86400,1
1444597200,"487626.000000",86400,1
1444683600,"472040.000000",86400,1
1444770000,"462710.000000",86400,1
1444856400,"499489.000000",86400,1
1444942800,"475662.000000",86400,1
1445029200,"351723.000000",86400,1
1445115600,"283675.000000",86400,1
1445202000,"472667.000000",86400,1
1445288400,"519317.000000",86400,1
1445374800,"461929.000000",86400,1
1445461200,"444842.000000",86400,1
1445547600,"487984.000000",86400,1
1445634000,"353220.000000",86400,1
1445720400,"289498.000000",86400,1
1445806800,"464506.000000",86400,1
1445893200,"443292.000000",86400,1
1445979600,"432742.000000",86400,1
1446066000,"430994.000000",86400,1
1446152400,"471686.000000",86400,1
1446238800,"350208.000000",86400,1
1446325200,"318077.000000",86400,1
1446411600,"656511.000000",86400,1
1446498000,"486984.000000",86400,1
1446584400,"355013.000000",86400,1
1446670800,"523801.000000",86400,1
1446757200,"576285.000000",86400,1
1446843600,"384922.000000",86400,1
1446930000,"368946.000000",86400,1
1447016400,"537064.000000",86400,1
1447102800,"579646.000000",86400,1
1447189200,"583038.000000",86400,1
1447275600,"509803.000000",86400,1
1447362000,"554560.000000",86400,1
1447448400,"317171.000000",86400,1
1447534800,"324382.000000",86400,1
1447621200,"524773.000000",86400,1
1447707600,"490909.000000",86400,1
1447794000,"473766.000000",86400,1
1447880400,"478155.000000",86400,1
1447966800,"542230.000000",86400,1
1448053200,"301545.000000",86400,1
1448139600,"315736.000000",86400,1
1448226000,"509839.000000",86400,1
1448312400,"503573.000000",86400,1
1448398800,"537363.000000",86400,1
1448485200,"496906.000000",86400,1
1448571600,"541591.000000",86400,1
1448658000,"395975.000000",86400,1
1448744400,"328508.000000",86400,1
1448830800,"556446.000000",86400,1
1448917200,"555139.000000",86400,1
1449003600,"520288.000000",86400,1
1449090000,"513697.000000",86400,1
1449176400,"578100.000000",86400,1
1449262800,"422340.000000",86400,1
1449349200,"335366.000000",86400,1
1449435600,"555802.000000",86400,1
1449522000,"553802.000000",86400,1
1449608400,"554271.000000",86400,1
1449694800,"641107.000000",86400,1
1449781200,"605288.000000",86400,1
1449867600,"440866.000000",86400,1
1449954000,"347398.000000",86400,1
1450040400,"588674.000000",86400,1
1450126800,"640947.000000",86400,1
1450213200,"585978.000000",86400,1
1450299600,"646766.000000",86400,1
1450386000,"637083.000000",86400,1
1450472400,"462746.000000",86400,1
1450558800,"377903.000000",86400,1
1450645200,"635864.000000",86400,1
1450731600,"605456.000000",86400,1
1450818000,"607648.000000",86400,1
1450904400,"895333.000000",86400,1
1450990800,"738901.000000",86400,1
1451077200,"518710.000000",86400,1
1451163600,"410283.000000",86400,1
1451250000,"731235.000000",86400,1
1451336400,"723584.000000",86400,1
1451422800,"814511.000000",86400,1
1451509200,"687660.000000",86400,1
1451595600,"253451.000000",86400,1
1451682000,"313614.000000",86400,1
1451768400,"309447.000000",86400,1
1451854800,"360421.000000",86400,1
1451941200,"399553.000000",86400,1
1452027600,"362683.000000",86400,1
1452114000,"320231.000000",86400,1
1452200400,"365517.000000",86400,1
1452286800,"376113.000000",86400,1
1452373200,"352262.000000",86400,1
1452459600,"648881.000000",86400,1
1452546000,"617278.000000",86400,1
1452632400,"597266.000000",86400,1
1452718800,"603324.000000",86400,1
1452805200,"698637.000000",86400,1
1452891600,"499329.000000",86400,1
1452978000,"393078.000000",86400,1
1453064400,"639530.000000",86400,1
1453150800,"619334.000000",86400,1
1453237200,"679041.000000",86400,1
1453323600,"656323.000000",86400,1
1453410000,"662938.000000",86400,1
1453496400,"488013.000000",86400,1
1453582800,"381678.000000",86400,1
1453669200,"732034.000000",86400,1
1453755600,"579108.000000",86400,1
1453842000,"647551.000000",86400,1
1453928400,"632553.000000",86400,1
1454014800,"629735.000000",86400,1
1454101200,"494086.000000",86400,1
1454187600,"416207.000000",86400,1
1454274000,"645109.000000",86400,1
1454360400,"590076.000000",86400,1
1454446800,"613619.000000",86400,1
1454533200,"582883.000000",86400,1
1454619600,"683113.000000",86400,1
1454706000,"477653.000000",86400,1
1454792400,"387927.000000",86400,1
1454878800,"650654.000000",86400,1
1454965200,"626939.000000",86400,1
1455051600,"701297.000000",86400,1
1455138000,"642933.000000",86400,1
1455224400,"688557.000000",86400,1
1455310800,"496488.000000",86400,1
1455397200,"378342.000000",86400,1
1455483600,"733451.000000",86400,1
1455570000,"644663.000000",86400,1
1455656400,"585208.000000",86400,1
1455742800,"590507.000000",86400,1
1455829200,"658124.000000",86400,1
1455915600,"670555.000000",86400,1
1456002000,"440479.000000",86400,1
1456088400,"421148.000000",86400,1
1456174800,"422511.000000",86400,1
1456261200,"658980.000000",86400,1
1456347600,"689434.000000",86400,1
1456434000,"604309.000000",86400,1
1456520400,"455428.000000",86400,1
1456606800,"428355.000000",86400,1
1456693200,"699896.000000",86400,1
1456779600,"708039.000000",86400,1
1456866000,"635132.000000",86400,1
1456952400,"650925.000000",86400,1
1457038800,"688653.000000",86400,1
1457125200,"576955.000000",86400,1
1457211600,"416381.000000",86400,1
1457298000,"463110.000000",86400,1
1457384400,"482498.000000",86400,1
1457470800,"699859.000000",86400,1
1457557200,"805756.000000",86400,1
1457643600,"758423.000000",86400,1
1457730000,"568812.000000",86400,1
1457816400,"441380.000000",86400,1
1457902800,"718490.000000",86400,1
1457989200,"798184.000000",86400,1
1458075600,"711972.000000",86400,1
1458162000,"601705.000000",86400,1
1458248400,"659094.000000",86400,1
1458334800,"500939.000000",86400,1
1458421200,"412152.000000",86400,1
1458507600,"632662.000000",86400,1
1458594000,"578350.000000",86400,1
1458680400,"556013.000000",86400,1
1458766800,"561497.000000",86400,1
1458853200,"638780.000000",86400,1
1458939600,"457107.000000",86400,1
1459026000,"382975.000000",86400,1
1459112400,"563349.000000",86400,1
1459198800,"666281.000000",86400,1
1459285200,"588733.000000",86400,1
1459371600,"567692.000000",86400,1
1459458000,"604717.000000",86400,1
1459544400,"475516.000000",86400,1
1459630800,"397809.000000",86400,1
1459717200,"619138.000000",86400,1
1459803600,"653106.000000",86400,1
1459890000,"648963.000000",86400,1
1459976400,"683017.000000",86400,1
1460062800,"726887.000000",86400,1
1460149200,"528962.000000",86400,1
1460235600,"429774.000000",86400,1
1460322000,"724974.000000",86400,1
1460408400,"690196.000000",86400,1
1460494800,"647220.000000",86400,1
1460581200,"648980.000000",86400,1
1460667600,"749816.000000",86400,1
1460754000,"527519.000000",86400,1
1460840400,"427728.000000",86400,1
1460926800,"682552.000000",86400,1
1461013200,"644699.000000",86400,1
1461099600,"712403.000000",86400,1
1461186000,"1301788.000000",86400,1
1461272400,"649832.000000",86400,1
1461358800,"486255.000000",86400,1
1461445200,"405476.000000",86400,1
1461531600,"707184.000000",86400,1
1461618000,"633769.000000",86400,1
1461704400,"620535.000000",86400,1
1461790800,"656742.000000",86400,1
1461877200,"763774.000000",86400,1
1461963600,"524044.000000",86400,1
1462050000,"420319.000000",86400,1
1462136400,"389919.000000",86400,1
1462222800,"422465.000000",86400,1
1462309200,"655548.000000",86400,1
1462395600,"681803.000000",86400,1
1462482000,"738851.000000",86400,1
1462568400,"503867.000000",86400,1
1462654800,"390191.000000",86400,1
1462741200,"360586.000000",86400,1
1462827600,"755679.000000",86400,1
1462914000,"715848.000000",86400,1
1463000400,"706795.000000",86400,1
1463086800,"779887.000000",86400,1
1463173200,"563442.000000",86400,1
1463259600,"458529.000000",86400,1
1463346000,"743029.000000",86400,1
1463432400,"684295.000000",86400,1
1463518800,"666278.000000",86400,1
1463605200,"695259.000000",86400,1
1463691600,"746252.000000",86400,1
1463778000,"533139.000000",86400,1
1463864400,"428701.000000",86400,1
1463950800,"681762.000000",86400,1
1464037200,"659308.000000",86400,1
1464123600,"710366.000000",86400,1
1464210000,"649641.000000",86400,1
1464296400,"702690.000000",86400,1
1464382800,"479944.000000",86400,1
1464469200,"412031.000000",86400,1
1464555600,"905998.000000",86400,1
1464642000,"667770.000000",86400,1
1464728400,"698583.000000",86400,1
1464814800,"648340.000000",86400,1
1464901200,"709229.000000",86400,1
1464987600,"515212.000000",86400,1
1465074000,"414319.000000",86400,1
1465160400,"696820.000000",86400,1
1465246800,"690216.000000",86400,1
1465333200,"674876.000000",86400,1
1465419600,"702975.000000",86400,1
1465506000,"939704.000000",86400,1
1465592400,"546080.000000",86400,1
1465678800,"408469.000000",86400,1
1465765200,"445130.000000",86400,1
1465851600,"757686.000000",86400,1
1465938000,"831726.000000",86400,1
1466024400,"724789.000000",86400,1
1466110800,"720938.000000",86400,1
1466197200,"496765.000000",86400,1
1466283600,"414033.000000",86400,1
1466370000,"772692.000000",86400,1
1466456400,"694385.000000",86400,1
1466542800,"664214.000000",86400,1
1466629200,"657616.000000",86400,1
1466715600,"729607.000000",86400,1
1466802000,"504256.000000",86400,1
1466888400,"399226.000000",86400,1
1466974800,"708401.000000",86400,1
1467061200,"660806.000000",86400,1
1467147600,"666423.000000",86400,1
1467234000,"722804.000000",86400,1
